Date,from_username,Subject,content
2001-11-12 14:33:11-08:00,kathleen.sullivan,central hudson/ ibm,"rick,
following up on our conversation, the ibm load is 120 mws

kathleen a. sullivan
manager, regulatory and government affairs
enron
713.345.7304 direct
713.306.8498 cell
kathleen.sullivan@enron.com
"
2001-11-12 15:15:49-08:00,jeff.dasovich,,"you think i should submit the reimbursement now, before the semester ends, just to get it in the door?

they should reserve a place for fessler at the same place davis deserves to go--history's trash heap.  you know that fessler works with klauberg, right?  some people you just can't get rid of....

best,
jeff"
2001-11-12 16:04:32-08:00,jeff.dasovich,re:,"will do.

 -----original message-----
from: 	shapiro, richard  
sent:	monday, november 12, 2001 5:35 pm
to:	dasovich, jeff
subject:	re: 

submit it now - thanks.

 -----original message-----
from: 	dasovich, jeff  
sent:	monday, november 12, 2001 5:16 pm
to:	shapiro, richard
subject:	

you think i should submit the reimbursement now, before the semester ends, just to get it in the door?

they should reserve a place for fessler at the same place davis deserves to go--history's trash heap.  you know that fessler works with klauberg, right?  some people you just can't get rid of....

best,
jeff"
2001-11-13 08:49:44-08:00,jeff.dasovich,,"best of luck with your meeting today.  you see this story?  most interesting quotes i've seen yet from watson.

best,
jeff

***********************************************
business/financial desk; section c
the markets
suitor for enron receives approval from wall st.
by alex berenson

11/13/2001
the new york times
page 13, column 1
c. 2001 new york times company

wall street found nothing but good news in dynegy's $9 billion takeover of the enron corporation yesterday. 
three days after dynegy, an energy marketing and trading company based in houston, agreed to take over enron, its giant crosstown rival, dynegy executives came to new york to assure investors that the deal would sharply increase their company's profits. they met a receptive audience.
dynegy stock closed yesterday at $44.31, up $5.55, or 14.3 percent. since last wednesday, when news of a possible takeover emerged, dynegy's stock has risen more than one-third. enron closed at $9.24, up 61 cents, or 7.1 percent. 
after some initial uncertainty about the takeover, investors appear to have accepted dynegy's view that the deal will give it a lucrative franchise in trading natural gas and electricity. enron's stock fell almost 80 percent in the weeks leading up to the deal as enron said it had overstated its earnings by almost $600 million since 1997 and forced out several top executives. 
but chuck watson, dynegy's chairman, told investors repeatedly yesterday that enron's problems were mainly a result of failed expansion efforts. he largely dismissed the concerns of some short-sellers and analysts that enron might be hiding losses at its core energy trading operations. 
''there's nothing wrong with enron's business,'' mr. watson said in an interview at the waldorf-astoria hotel after making a lunchtime presentation to analysts and investors. ''the people in it ought to be really upset that for the last several years, they have produced earnings and cash that have been invested in other businesses that are not making money.'' 
enron's immediate problem was a crisis of confidence, which could have caused other companies to stop trading with it, mr. watson said. a $1.5 billion cash infusion from dynegy should restore the confidence of enron's business partners and keep enron stable until the takeover is complete, he said. to bolster enron further, j. p. morgan chase and citigroup may each invest an additional $250 million, executives close to the deal said. the potential investments by j. p. morgan chase and citigroup were reported yesterday in the wall street journal. 
mr. watson said dynegy would also move quickly to assuage enron employees who are angry that kenneth l. lay, enron's chairman, and other top executives sold hundreds of millions of dollars in stock in 2000 and this year as enron's shares plunged. ''right now, there's some animosity over there,'' he said. 
many employees at enron will get new grants of stock options when the acquisition is completed, he said. the company said it expected the deal to close by the end of the third quarter of next year, after extensive reviews from federal and state energy regulators and the department of justice. 
mr. watson predicted that the deal would lift dynegy's earnings by 90 cents or more a share next year, to more than $3.45 a share. 
analysts backed that view yesterday. ''investments in noncore business distracted the attention of management and also took up capital,'' said thomas hamlin, an analyst at wachovia securities. mr. hamlin said he believed that dynegy had obtained enron, which reported more than $100 billion in revenue last year, for a bargain price. 
''it's not too often you get to take out the no. 7 fortune 500 company and double your earnings in the meantime,'' he said. ''my guess is the stock is worth $70 per share.'' 
the deal could increase dynegy's earnings by $1 to $2 a share next year, said christopher ellinghaus, an analyst at the williams capital group. 
''that's a whopper,'' he said. ''it's a very good deal financially, certainly should be a good deal strategically, and provides some immediate balance-sheet backstop for enron.'' 
mr. lay said in an interview that enron had been forced to sell itself because of ''the relentlessness of all the articles and the shorts.'' 
''we realized that we needed to do something to stabilize the ship,'' he said. ''a good company was being badly tarnished.''

photo: in houston, the headquarters building of dynegy inc., the energy and marketing trading company, which is in a $9 billion takeover of enron. (asociated press) 
copyright ? 2000 dow jones & company, inc. all rights reserved. 	"
2001-11-13 11:59:01-08:00,john.j.stauffacher,merger filing puct,"i understand that an oregon commission filing will also be required--who
will  be your point person on that??


----- forwarded by john j stauffacher/hou/dynegy on 11/13/01 01:56 pm -----
                                                                                                               
                    john j                                                                                     
                    stauffacher          to:     gwatkins@akingump.com                                         
                                         cc:     ken e randolph/hou/dynegy@dynegy, peter                       
                    11/13/01             esposito/hou/dynegy@dynegy, dan king/hou/dynegy@dynegy                
                    11:59 am             subject:     merger filing puct                                       
                                                                                                               
                                                                                                               



attached is a rough draft for our puct filing.  initial review (subject to
check with enron) is that the combined parties generation in the ercot
region will exceed the 1% review threshold but be far below the 20% action
level.  i roughed out the elements of a filing based on the dynegy/illinova
docket from two years ago.  i have a meeting scheduled with chairman
yzaguirre tomorrow afternoon--thought i might provide him with the table on
generation interests within ercot and alert him to the pending request.


(see attached file: dynegy enron meger application puct.doc)           (see
attached file: dynegy enron ercot generation market share.doc)"
2001-11-13 12:01:32-08:00,amr.ibrahim,the new strucutre.,"
rick:

i hope that i am not exceeding my authority from risk analytics perspective by seeking your permission to comment on the suggested new structure of the department.  if you think that this is not necessary at this stage, i would like to communicate the following points:

the concern of risk analytics is to ensure the following:
1.	the different business activities, and the different regions are well identified and covered, yet not isolated from each other to negatively impact synergy.  
2.	the suggested structure clearly identifies lines of responsibility, and accountability.
3.	the above lines of responsibility, and accountability, pass through your primary support direct system (i.e., jim steffes); this is at least as far as the ""regulatory-intensive"" functions.    
4.	ensure that support functions (e.g. database management, regulatory research) are well connected to the different components of the department.

i am confident that you had addressed these issues, however, and  to stop beating around the bush, i  just want to discuss further point 3 above for its relative importance in the coming period.  

i look forward for any question or comment


brgrds

ai"
2001-11-13 14:10:27-08:00,luiz.maurer,tax issues related to elektro,"
follow up on this issue.

i did not hear from sergio yet.

i checked cvm resolution # oficio/cvm/sep/gea-1 number 04/01, dated november 08. (therefore, the enron/dynegy merge date is pure serendipity)

the issue is related to the reverse merger, but it is more complex than we thought.

the commission ordered elektro to republish 2001, 1q2001 and 2q2002 statements. the commission argues that:

1) the deferral of income tax and social contribution was not legitimate, as it was based on irrealistic profit assumptions
2) that instructions regarding the term to ammortize part of the reverse merger, issues in 1999, have not been followed (cvm instruction 319/99, which approved the reverse merger)
3) the economic rationale for the ammortization of the larger part of the ""premium""  paid for elektro does not hold any longer and that cvm instruction 349/2001 is not being followed
4) as per law 6.385/76, elektro will have to republish the balance sheets/income statements

elektro has 15 days to appeal

lm"
2001-11-13 14:54:12-08:00,luiz.maurer,re: esa government negotiations/ corrected,"my initial reaction:

1) rationing losses

i was afraid of this outcome. at least on the surface, i do not like it.  

i have the impression that  it  washes away elektro's initial long position as elektro as it puts and end to annex v discussions. i would have to see the numbers to check  that this solution is equivalent to annex v (for enron). it depends on how one defines ""rationing losses"". 

this solution is perfect  for companies like aes, who were both short in the generation and  in the distribution  businesses. they win on both sides. how are they going to treat annex v provisions when load curtailment reduces to 10% and annex v becomes a liability for elektro? what is going to happen with annex v? (it may be part of the agreement - it is not clear though)

from an elecric sector perspective, this solution corroborates the bail out and the lack of contract sanctity. bad for future investments. 
it would be much more acceptable to increase bulk tariff for generators and allow full pass-through. 

2) ok

3) this had already been achieved. it was an mp (law) enacted by minister parente. the only way we were able to get it was to take aneel to court (here comes my point again - why not being equally bold regarding annex v? perhaps aes influence on abradee?)

what are the terms of final settlement? will they have any provision regarding annex v?

"" by  solving the pending issues for the rationing losses, thus eliminating the annex 5 controversy the mae should function normally, allowing us to operate eletrobolt and settle against the pool""

three comments:

1) technically not correct - mae recently stopped because of a legal  injunction of itaipu  energy. 
2) it is key to have a functioning mae for eletrobolt. why has abradee voted in favor or procrastinating mae operation three times in the recent past and enron has not exercised a dissenting vote?

"" our team has led the sector negotiations for months since the rationing, and have been instrumental in convincing the government of the need for implementing these changes""   

i would rather not comment on this statement




 -----original message-----
from: 	shapiro, richard  
sent:	tuesday, november 13, 2001 4:20 pm
to:	maurer, luiz
subject:	fw: esa government negotiations/ corrected



 -----original message-----
from: 	gonzalez, orlando  
sent:	tuesday, november 13, 2001 4:18 pm
to:	james a hughes/enron_development@enron; lavorato, john; horton, stanley; shapiro, richard; mark e haedicke/hou/ect@enron
cc:	assad, sergio; wiggs, brett; joao.carlos.albuquerque@enron.com; soares, britaldo; novak, john
subject:	esa government negotiations/ corrected

disegard previous e-mail.
we  reached a conceptual agreement with the government representatives on sunday night.  the main points are:  

     1. rationing losses:   defined methodology giving distribution companies recovery over the next 36 months of rationing losses realised   from june 01 until the end of rationing in 02. recovery includes financial compensation. immediate funding of 80% through bndes, with brazilian government funds. loans liquidated over the 3 year period as tariff increases are realised.  funding scheduled by december 15th.  elektro ebitda impact of approximately r$163 million or us$ 63 million. corrected numbers in second email

       2.  april/may mae settlement :   market will settle under current rules due to pre-rationing conditions, confirming the procedures used on elektro's books.  impact of approximately r$ 18 million or us$ 7 million. 

       3.  parcel  ""a"" for the future:  all non-controlable costs to which ldc's are subjected to including power purchases, sector charges, are passed through to final tariffs either using a tracking account mechanism or by aligning adjustment dates with  the ldc tariff revision date.  tracking account will be subject to financial compensation from the date costs are incurred until the effective pass through and collection , eliminating a major risk for the distribution sector. elektro ebitda impact  2002 forward of r$ 60 million or us$ 19 million, as had been considered in the 2002 plan.  this methodology represents major risk mitigation going forward, as the initial power supply contracts are renewed starting in 2003.

        4. parcel a from the past:   min parente has agreed to the concept recovering non controllable  that were not passed through to tariffs since late 1999 using the same methodology agreed to for future recoveries and has a dedicated team from the federal attorney general's office targeting a final solution in ten days.    elektro impact  is r$145 million or us$ 55 million in 2001. the proposed mechanism for recovery is after the 36 months for the rationing losses.  

we are currently finalising a memo of understanding and the government team is winding up the settlement with the generators in order to finalize the terms of the overall agreement.

min parente has committed to resolving the open issues affecting investors in the power sector.  these  agreements represent a major step forward, significantly improving  the value of our businesses. by  solving the pending issues for the rationing losses, thus eliminating the annex 5 controversy the mae should function normally, allowing us to operate eletrobolt and settle against the pool.  

total amounts for the sector represent about r$ 10 billion or us$3.8 billion at the current rates.  our team has led the sector negotiations for months since the rationing, and have been instrumental in convincing the government of the need for implementing these changes.  "
2001-11-13 16:38:02-08:00,lisayoho,hi,"hi rick:

thank you for the kind message that you left on my voicemail on friday 
evening.  i apologize that i got choked up when i was leaving.  saying 
goodbye to good friends is not easy.

this is my new personal email address.  please drop me a line every now and 
then to let me know how you're doing.

i hope to see you soon.

lisa

_________________________________________________________________
get your free download of msn explorer at http://explorer.msn.com/intl.asp"
2001-11-14 05:09:52-08:00,jan.haizmann,thanks,"for your very balanced and clear speech yesterday afternoon. this was not an easy exercise. the name of the european dynegy government affairs guy (you referred to) is david kean. david has roughly 5 people in his group in richmond. 

best regards

jan"
